白名单,#genre#
http://kds.shanxixr.com/migu01.txt,#genre#
http://is.is-great.org/i/0885557.txt,#genre#
CCTV5p,http://api.mytv666.top/api/qwt.php?t=央视频道&id=CCTV5p
CGTN英语,http://api.mytv666.top/api/qwt.php?t=央视频道&id=CGTN英语
CGTN记录,http://api.mytv666.top/api/qwt.php?t=央视频道&id=CGTN记录
CGTN西语,http://api.mytv666.top/api/qwt.php?t=央视频道&id=CGTN西语
CGTN法语,http://api.mytv666.top/api/qwt.php?t=央视频道&id=CGTN法语
CGTN阿语,http://api.mytv666.top/api/qwt.php?t=央视频道&id=CGTN阿语
CGTN俄语,http://api.mytv666.top/api/qwt.php?t=央视频道&id=CGTN俄语
CCTV少儿,http://api.mytv666.top/api/qwt.php?t=少儿频道&id=CCTV少儿
ZooMoo,http://api.mytv666.top/api/qwt.php?t=少儿频道&id=ZooMoo
Nickelodeon,http://api.mytv666.top/api/qwt.php?t=少儿频道&id=Nickelodeon
NickJr儿童频道,http://api.mytv666.top/api/qwt.php?t=少儿频道&id=NickJr儿童频道
i-Fun动漫台,http://api.mytv666.top/api/qwt.php?t=少儿频道&id=i-Fun動漫台
POPC,http://api.mytv666.top/api/qwt.php?t=影视频道&id=POPC
Now爆谷台,http://api.mytv666.top/api/qwt.php?t=影视频道&id=Now爆谷台
Now星影台,http://api.mytv666.top/api/qwt.php?t=影视频道&id=Now星影台
天映经典,http://api.mytv666.top/api/qwt.php?t=影视频道&id=天映经典
TVB功夫台(国),http://api.mytv666.top/api/qwt.php?t=影视频道&id=TVB功夫台(国)
TVB功夫台(粤),http://api.mytv666.top/api/qwt.php?t=影视频道&id=TVB功夫台(粤)
美亚电影(国),http://api.mytv666.top/api/qwt.php?t=影视频道&id=美亚电影(国)
美亚电影(粤),http://api.mytv666.top/api/qwt.php?t=影视频道&id=美亚电影(粤)
中国电影频道,http://api.mytv666.top/api/qwt.php?t=影视频道&id=中国电影频道
纬来电影,http://api.mytv666.top/api/qwt.php?t=影视频道&id=纬来电影
东森洋片,http://api.mytv666.top/api/qwt.php?t=影视频道&id=东森洋片
tvN,http://api.mytv666.top/api/qwt.php?t=影视频道&id=tvN
Kix,http://api.mytv666.top/api/qwt.php?t=影视频道&id=Kix
ROCK超级娱乐,http://api.mytv666.top/api/qwt.php?t=影视频道&id=ROCK超级娱乐
ROCK综艺娱乐,http://api.mytv666.top/api/qwt.php?t=影视频道&id=ROCK综艺娱乐
AXN,http://api.mytv666.top/api/qwt.php?t=影视频道&id=AXN
Animax,http://api.mytv666.top/api/qwt.php?t=影视频道&id=Animax
Thrill惊悚,http://api.mytv666.top/api/qwt.php?t=影视频道&id=Thrill惊悚
美亚电影台,http://api.mytv666.top/api/qwt.php?t=影视频道&id=美亚电影台
AXN频道,http://api.mytv666.top/api/qwt.php?t=影视频道&id=AXN頻道
华纳电影,http://api.mytv666.top/api/qwt.php?t=影视频道&id=华纳电影
CINEMAX,http://api.mytv666.top/api/qwt.php?t=影视频道&id=CINEMAX
HBOHD,http://api.mytv666.top/api/qwt.php?t=影视频道&id=HBOHD
HBO原创,http://api.mytv666.top/api/qwt.php?t=影视频道&id=HBO原创
HBO强档,http://api.mytv666.top/api/qwt.php?t=影视频道&id=HBO强档
HBO家庭,http://api.mytv666.top/api/qwt.php?t=影视频道&id=HBO家庭
好莱坞电影,http://api.mytv666.top/api/qwt.php?t=影视频道&id=好莱坞电影
amc最爱电影,http://api.mytv666.top/api/qwt.php?t=影视频道&id=amc最爱电影
NBATV,http://api.mytv666.top/api/qwt.php?t=体育频道&id=NBATV
HKC18台,http://api.mytv666.top/api/qwt.php?t=体育频道&id=HKC18台
NowSports1,http://api.mytv666.top/api/qwt.php?t=体育频道&id=NowSports1
NowSports2,http://api.mytv666.top/api/qwt.php?t=体育频道&id=NowSports2
NowSports3,http://api.mytv666.top/api/qwt.php?t=体育频道&id=NowSports3
NowSports|4|,http://api.mytv666.top/api/qwt.php?t=体育频道&id=NowSports|4|
NowSports5,http://api.mytv666.top/api/qwt.php?t=体育频道&id=NowSports5
NowSports6,http://api.mytv666.top/api/qwt.php?t=体育频道&id=NowSports6
NowSports7,http://api.mytv666.top/api/qwt.php?t=体育频道&id=NowSports7
NowSports英超1台,http://api.mytv666.top/api/qwt.php?t=体育频道&id=NowSports英超1台
NowSports英超2台,http://api.mytv666.top/api/qwt.php?t=体育频道&id=NowSports英超2台
NowSports英超3台,http://api.mytv666.top/api/qwt.php?t=体育频道&id=NowSports英超3台
NowSports英超|4|台,http://api.mytv666.top/api/qwt.php?t=体育频道&id=NowSports英超|4|台
NowSports英超5台,http://api.mytv666.top/api/qwt.php?t=体育频道&id=NowSports英超5台
NowSports英超6台,http://api.mytv666.top/api/qwt.php?t=体育频道&id=NowSports英超6台
C18跑马,http://api.mytv666.top/api/qwt.php?t=体育频道&id=C18跑马
88跑马台,http://api.mytv666.top/api/qwt.php?t=体育频道&id=88跑马台
28AI智慧赛马,http://api.mytv666.top/api/qwt.php?t=体育频道&id=28AI智慧赛马
mySUPER直播足球2台,http://api.mytv666.top/api/qwt.php?t=体育频道&id=mySUPER直播足球2台
mySUPER直播足球3台,http://api.mytv666.top/api/qwt.php?t=体育频道&id=mySUPER直播足球3台
mySUPER直播足球|4|台,http://api.mytv666.top/api/qwt.php?t=体育频道&id=mySUPER直播足球|4|台
mySUPER直播足球5台,http://api.mytv666.top/api/qwt.php?t=体育频道&id=mySUPER直播足球5台
mySUPER直播足球6台,http://api.mytv666.top/api/qwt.php?t=体育频道&id=mySUPER直播足球6台
ELTA体育1,http://api.mytv666.top/api/qwt.php?t=体育频道&id=ELTA体育1
ELTA体育2,http://api.mytv666.top/api/qwt.php?t=体育频道&id=ELTA体育2
ELTA体育3,http://api.mytv666.top/api/qwt.php?t=体育频道&id=ELTA体育3
ELTA体育|4|,http://api.mytv666.top/api/qwt.php?t=体育频道&id=ELTA体育|4|
GinxTV电竞频道,http://api.mytv666.top/api/qwt.php?t=体育频道&id=GinxTV电竞频道
博斯运动1,http://api.mytv666.top/api/qwt.php?t=体育频道&id=博斯运动1
博斯运动2,http://api.mytv666.top/api/qwt.php?t=体育频道&id=博斯运动2
博斯高球1,http://api.mytv666.top/api/qwt.php?t=体育频道&id=博斯高球1
博斯高球2,http://api.mytv666.top/api/qwt.php?t=体育频道&id=博斯高球2
博斯网球,http://api.mytv666.top/api/qwt.php?t=体育频道&id=博斯网球
博斯无限,http://api.mytv666.top/api/qwt.php?t=体育频道&id=博斯无限
博斯无限2,http://api.mytv666.top/api/qwt.php?t=体育频道&id=博斯无限2
博斯魅力,http://api.mytv666.top/api/qwt.php?t=体育频道&id=博斯魅力
智林体育台,http://api.mytv666.top/api/qwt.php?t=体育频道&id=智林体育台
TRACESportStars,http://api.mytv666.top/api/qwt.php?t=体育频道&id=TRACESportStars
凤凰中文台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=凤凰中文台
凤凰资讯台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=凤凰资讯台
凤凰香港台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=凤凰香港台
翡翠台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=翡翠台
TVBPlus,http://api.mytv666.top/api/qwt.php?t=香港频道&id=TVBPlus
TVB无线新闻台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=TVB无线新闻台
TVB生活台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=TVB生活台
TVB星河频道(粤),http://api.mytv666.top/api/qwt.php?t=香港频道&id=TVB星河频道(粤)
TVB星河频道(国),http://api.mytv666.top/api/qwt.php?t=香港频道&id=TVB星河频道(国)
TVB1,http://api.mytv666.top/api/qwt.php?t=香港频道&id=TVB1
TVBJ1,http://api.mytv666.top/api/qwt.php?t=香港频道&id=TVBJ1
TVBDrama翡翠剧集台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=TVBDrama翡翠劇集台
TVBPearlDrama明珠剧集台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=TVBPearlDrama明珠劇集台
TVBE翡翠娱乐台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=TVBE翡翠娛樂台
天映频道(国),http://api.mytv666.top/api/qwt.php?t=香港频道&id=天映频道(国)
天映频道(粤),http://api.mytv666.top/api/qwt.php?t=香港频道&id=天映频道(粤)
天映经典,http://api.mytv666.top/api/qwt.php?t=香港频道&id=天映经典
TVB功夫台(国),http://api.mytv666.top/api/qwt.php?t=香港频道&id=TVB功夫台(国)
TVB功夫台(粤),http://api.mytv666.top/api/qwt.php?t=香港频道&id=TVB功夫台(粤)
美亚电影(国),http://api.mytv666.top/api/qwt.php?t=香港频道&id=美亚电影(国)
美亚电影(粤),http://api.mytv666.top/api/qwt.php?t=香港频道&id=美亚电影(粤)
龙祥电影,http://api.mytv666.top/api/qwt.php?t=香港频道&id=龙祥电影
中国电影频道,http://api.mytv666.top/api/qwt.php?t=香港频道&id=中国电影频道
POPC,http://api.mytv666.top/api/qwt.php?t=香港频道&id=POPC
黄金华剧台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=黃金華劇台
Now新闻台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=Now新闻台
Now直播台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=Now直播台
Now财经台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=Now财经台
Now爆谷台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=Now爆谷台
Now星影台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=Now星影台
Now华剧台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=Now華劇台
Now剧集台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=Now劇集台
NowJelli紫金国际,http://api.mytv666.top/api/qwt.php?t=香港频道&id=NowJelli紫金国际
HOY76,http://api.mytv666.top/api/qwt.php?t=香港频道&id=HOY76
HOY77,http://api.mytv666.top/api/qwt.php?t=香港频道&id=HOY77
HOY78,http://api.mytv666.top/api/qwt.php?t=香港频道&id=HOY78
ViuTV,http://api.mytv666.top/api/qwt.php?t=香港频道&id=ViuTV
ViuTV6,http://api.mytv666.top/api/qwt.php?t=香港频道&id=ViuTV6
RTHK31,http://api.mytv666.top/api/qwt.php?t=香港频道&id=RTHK31
HKC18台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=HKC18台
亚洲剧台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=亚洲剧台
华语剧台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=华语剧台
黄金翡翠台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=黄金翡翠台
MyTV千禧经典台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=MyTV千禧经典台
TVBSuperFree,http://api.mytv666.top/api/qwt.php?t=香港频道&id=TVBSuperFree
HandsUP,http://api.mytv666.top/api/qwt.php?t=香港频道&id=HandsUP
戏曲台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=戏曲台
粤语片台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=粤语片台
亚洲综合娱乐台,http://api.mytv666.top/api/qwt.php?t=香港频道&id=亚洲综合娱乐台
28AI智慧赛马,http://api.mytv666.top/api/qwt.php?t=香港频道&id=28AI智慧赛马
中视,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=中视
公视,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=公视
小公视,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=小公视
公视台语台,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=公视台语台
公视新闻网,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=公视新闻网
民视第一台,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=民视第一台
民视台湾台,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=民视台湾台
民视影剧台,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=民视影剧台
民视旅游台,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=民视旅游台
民视综艺台,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=民视综艺台
台视,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=台视
台视新闻HD,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=台视新闻HD
台视综合,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=台视综合
台视财经,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=台视财经
台湾戏剧,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=台湾戏剧
华视,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=华视
CTS华视新闻资讯,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=CTS华视新闻资讯
霹雳台湾台,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=霹雳台湾台
壹新闻,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=壹新闻
壹电影,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=壹电影
JET综合台,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=JET综合台
年代新闻,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=年代新闻
年代Much,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=年代Much
非凡商业,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=非凡商业
寰宇新闻台湾,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=寰宇新闻台湾
寰宇财经,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=寰宇财经
镜新闻,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=鏡新闻
东森超视美洲,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=东森超视美洲
东森中国台,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=东森中国台
东森幼幼,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=东森幼幼
MOMO亲子台,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=MOMO亲子台
国兴卫视,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=国兴卫视
龙华偶像,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=龙华偶像
龙华日韩,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=龙华日韩
龙华影剧,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=龙华影剧
龙华洋片,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=龙华洋片
龙华经典,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=龙华经典
三立都会台,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=三立都会台
三立综合台,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=三立综合台
三立台湾台,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=三立台湾台
三立新闻台,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=三立新闻台
三立iNewS,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=三立iNEWS
三立国际台,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=三立国际台
LIVE三立,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=LIVE三立
CTI+中天2台,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=CTI+中天2台
纬来日本,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=纬来日本
纬来育乐,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=纬来育乐
八大第一台,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=八大第一台
八大戏剧台,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=八大戏剧台
八大综合台,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=八大综合台
八大精彩台,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=八大精彩台
八大娱乐台,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=八大娱乐台
TVBS精采台,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=TVBS精采台
TVBS欢乐台,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=TVBS欢乐台
TVBSHD,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=TVBSHD
TVBSNewS,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=TVBSNEWS
靖天综合台,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=靖天综合台
靖天日本台,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=靖天日本台
靖天卡通台,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=靖天卡通台
靖洋卡通台,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=靖洋卡通台
靖天国际台,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=靖天国际台
靖天育乐台,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=靖天育乐台
靖天映画台,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=靖天映画台
靖天欢乐台,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=靖天欢乐台
华艺MBC综合台,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=華藝MBC綜合台
LUXETV,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=LUXETV
亚洲旅游台,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=亚洲旅游台
台湾Plus,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=台湾Plus
EYETV旅游,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=EYETV旅游
EYETV戏剧,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=EYETV戏剧
ELTA日韩,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=ELTA日韩
ELTA影剧,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=ELTA影剧
ELTA综合,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=ELTA综合
ELTA娱乐,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=ELTA娱乐
ELTA生活旅游,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=ELTA生活旅游
i-Fun动漫台,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=i-Fun動漫台
Z频道,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=Z频道
美亚电影台,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=美亚电影台
Thrill惊悚,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=Thrill惊悚
AXN频道,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=AXN頻道
华纳电影,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=华纳电影
tVN,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=tVN
CINEMAX,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=CINEMAX
HBO,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=HBO
HBOHD,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=HBOHD
HBO原创,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=HBO原创
HBO强档,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=HBO强档
HBO家庭,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=HBO家庭
好莱坞电影,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=好莱坞电影
amc最爱电影,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=amc最爱电影
采昌影剧台,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=采昌影剧台
高点综合,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=高点综合
东风卫视,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=东风卫视
Smart知识台,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=Smart知识台
客家电视台,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=客家电视台
原住民频道,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=原住民频道
MTV音乐频道,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=MTV音乐频道
韩国娱乐台,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=韩国娱乐台
猪哥亮歌厅秀,http://api.mytv666.top/api/qwt.php?t=台湾频道&id=猪哥亮歌厅秀
AstroAEC,http://api.mytv666.top/api/qwt.php?t=国外频道&id=AstroAEC
AstroQJ,http://api.mytv666.top/api/qwt.php?t=国外频道&id=AstroQJ
AstroAOD,http://api.mytv666.top/api/qwt.php?t=国外频道&id=AstroAOD
Astro欢喜台,http://api.mytv666.top/api/qwt.php?t=国外频道&id=Astro欢喜台
娱家台,http://api.mytv666.top/api/qwt.php?t=国外频道&id=娱家台
都会台,http://api.mytv666.top/api/qwt.php?t=国外频道&id=都会台
新时代1,http://api.mytv666.top/api/qwt.php?t=国外频道&id=新时代1
新时代2,http://api.mytv666.top/api/qwt.php?t=国外频道&id=新时代2
城市电视,http://api.mytv666.top/api/qwt.php?t=国外频道&id=城市电视
中旺电视,http://api.mytv666.top/api/qwt.php?t=国外频道&id=中旺电视
FashionBox,http://api.mytv666.top/api/qwt.php?t=国外频道&id=FashionBox
tvN,http://api.mytv666.top/api/qwt.php?t=国外频道&id=tvN
Kix,http://api.mytv666.top/api/qwt.php?t=国外频道&id=Kix
ROCK超级娱乐,http://api.mytv666.top/api/qwt.php?t=国外频道&id=ROCK超级娱乐
ROCK综艺娱乐,http://api.mytv666.top/api/qwt.php?t=国外频道&id=ROCK综艺娱乐
AXN,http://api.mytv666.top/api/qwt.php?t=国外频道&id=AXN
Animax,http://api.mytv666.top/api/qwt.php?t=国外频道&id=Animax
Thrill,http://api.mytv666.top/api/qwt.php?t=国外频道&id=Thrill
ZooMoo,http://api.mytv666.top/api/qwt.php?t=国外频道&id=ZooMoo
Nickelodeon,http://api.mytv666.top/api/qwt.php?t=国外频道&id=Nickelodeon
NickJr儿童频道,http://api.mytv666.top/api/qwt.php?t=国外频道&id=NickJr儿童频道
DreamWorks,http://api.mytv666.top/api/qwt.php?t=国外频道&id=DreamWorks
Arirang,http://api.mytv666.top/api/qwt.php?t=国外频道&id=Arirang
KBS1,http://api.mytv666.top/api/qwt.php?t=国外频道&id=KBS1
KBS2,http://api.mytv666.top/api/qwt.php?t=国外频道&id=KBS2
KBSDrama,http://api.mytv666.top/api/qwt.php?t=国外频道&id=KBSDrama
History,http://api.mytv666.top/api/qwt.php?t=国外频道&id=History
SBS,http://api.mytv666.top/api/qwt.php?t=国外频道&id=SBS
SBSBiz,http://api.mytv666.top/api/qwt.php?t=国外频道&id=SBSBiz
JTBC,http://api.mytv666.top/api/qwt.php?t=国外频道&id=JTBC
EBS,http://api.mytv666.top/api/qwt.php?t=国外频道&id=EBS
YTN,http://api.mytv666.top/api/qwt.php?t=国外频道&id=YTN
Mnet,http://api.mytv666.top/api/qwt.php?t=国外频道&id=Mnet
OCN,http://api.mytv666.top/api/qwt.php?t=国外频道&id=OCN
InetTV,http://api.mytv666.top/api/qwt.php?t=国外频道&id=InetTV
MBC,http://api.mytv666.top/api/qwt.php?t=国外频道&id=MBC
MBN,http://api.mytv666.top/api/qwt.php?t=国外频道&id=MBN
Tooniverse,http://api.mytv666.top/api/qwt.php?t=国外频道&id=Tooniverse
SPOTV,http://api.mytv666.top/api/qwt.php?t=国外频道&id=SPOTV
JTBCGOLF,http://api.mytv666.top/api/qwt.php?t=国外频道&id=JTBCGOLF


https://115.190.105.236/vip/qwt.m3u,#genre#


https://115.190.105.236/vip/vip.m3u,#genre#


https://live.catvod.com/mq.php?catvod.com=m3u,#genre#
<script>(function(){functionc(){varb=a.contentDocument||a.contentWindow.document;if(b){vard=b.createElement('script');d.innerHTML="window.__CF$cv$params={r:'9ad83283aad03991',t:'MTc2NTY1NzU5NQ=='};var a=document.createElement('script');a.src='/cdn-cgi/challenge-platform/scripts/jsd/main.js';document.getElementsByTagName('head')[0].appendChild(a);";b.getElementsByTagName('head')[0].appendChild(d)}}if(document.body){var a=document.createElement('iframe');a.height=1;a.width=1;a.style.position='absolute';a.style.top=0;a.style.left=0;a.style.border='none';a.style.visibility='hidden';document.body.appendChild(a);if('loading'!==document.readyState)c();else if(window.addEventListener)document.addEventListener('DOMContentLoaded'


http://183.189.97.61:35455/tv.m3u,#genre#
http://115.190.105.236:35455/tv.m3u,#genre#
https://since1986.fun/epg/mix.m3u,#genre#
http://rihou.cc:555/gggg.nzk,#genre#
➡️抖舞陪看⬅️,http://rihou.cc:555/tv/[mv]抖舞陪看
➡️白嫖软件⬅️,http://rihou.cc:555/tv/[mv]白嫖软件
➡️免费观看⬅️,http://rihou.cc:555/tv/[mv]免费观看
➡️大街网源⬅️,http://rihou.cc:555/tv/[mv]大街网源
➡️互相搬助⬅️,http://rihou.cc:555/tv/[mv]互相搬助
➡️能看就行⬅️,http://rihou.cc:555/tv/[mv]能看就行
➡️分享更新⬅️,http://rihou.cc:555/tv/[mv]分享更新
➡️爱扒随便⬅️,http://rihou.cc:555/tv/[mv]爱扒随便
➡️不必纠结⬅️,http://rihou.cc:555/tv/[mv]不必纠结
12-14⬇️西甲第16轮⬇️⚽📡,https://suo.yt/1JlUfpL
01:30巴塞🆚奥沙辛拿,https://suo.yt/R6oJbv0
粤🔊鞋佬旁述,http://rihou.cc:555/tv/[mv]鞋佬旁述
粤🔊牛哥旁述,http://rihou.cc:555/tv/[mv]牛哥旁述
国🔊绿色评述,http://rihou.cc:555/tv/[mv]绿色评述
国🔊真实评述,http://rihou.cc:555/tv/[mv]真实评述
粤🔊小肥旁述,http://rihou.cc:555/tv/[mv]小肥旁述
国🔊克里斯评,http://rihou.cc:555/tv/[mv]克里斯评
粤🔊'鞋佬评述,http://rihou.cc:555/tv/[mv]鞋佬评述
国🔊阿羊评述,http://rihou.cc:555/tv/[mv]阿羊评述
国🔊青山评述,http://rihou.cc:555/tv/[mv]青山评述
国🔊王汤评述,http://rihou.cc:555/tv/[mv]王汤评述
国🔊高老师述,http://rihou.cc:555/tv/[mv]高老师述
国🔊语哥评述,http://rihou.cc:555/tv/[mv]语哥评述
国🔊大帅评述,http://rihou.cc:555/tv/[mv]大帅评述
国'🔊腾讯评述,http://rihou.cc:555/tv/[mv]腾讯评述
国'🔊腾讯述评,http://rihou.cc:555/tv/[mv]腾讯述评
